,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,3266.1216412405174,1455.1489235132362,4996.187585523328,3266.1216412405174,3266.1216412405174,0.0,0.0,0.0,0.0,0.0,0.0,3266.1216412405174
1,2018-01-02,3268.2355620986864,1491.8683168382997,4989.5886208021675,3268.2355620986864,3268.2355620986864,0.0,0.0,0.0,0.0,0.0,0.0,3268.2355620986864
2,2018-01-03,3270.349482956856,1510.04863316472,5019.21839815217,3270.349482956856,3270.349482956856,0.0,0.0,0.0,0.0,0.0,0.0,3270.349482956856
3,2018-01-04,3272.4634038150243,1567.02844947446,5085.323718424118,3272.4634038150243,3272.4634038150243,0.0,0.0,0.0,0.0,0.0,0.0,3272.4634038150243
4,2018-01-05,3274.5773246731937,1414.0167113749042,5081.423807698111,3274.5773246731937,3274.5773246731937,0.0,0.0,0.0,0.0,0.0,0.0,3274.5773246731937
5,2018-01-06,3276.691245531363,1617.4791572809263,5123.716366930141,3276.691245531363,3276.691245531363,0.0,0.0,0.0,0.0,0.0,0.0,3276.691245531363
6,2018-01-07,3278.805166389532,1576.8960221442965,4958.533551668999,3278.805166389532,3278.805166389532,0.0,0.0,0.0,0.0,0.0,0.0,3278.805166389532
7,2018-01-08,3280.919087247701,1583.1535726915952,4998.835406247229,3280.919087247701,3280.919087247701,0.0,0.0,0.0,0.0,0.0,0.0,3280.919087247701
8,2018-01-09,3283.0330081058705,1656.2651349872347,5034.5224975324545,3283.0330081058705,3283.0330081058705,0.0,0.0,0.0,0.0,0.0,0.0,3283.0330081058705
9,2018-01-10,3285.1469289640395,1578.5090711552552,5047.491802208806,3285.1469289640395,3285.1469289640395,0.0,0.0,0.0,0.0,0.0,0.0,3285.1469289640395
10,2018-01-11,3287.260849822209,1485.3947859386146,4981.644123554347,3287.260849822209,3287.260849822209,0.0,0.0,0.0,0.0,0.0,0.0,3287.260849822209
11,2018-01-12,3289.374770680378,1576.683024618854,5064.21636367999,3289.374770680378,3289.374770680378,0.0,0.0,0.0,0.0,0.0,0.0,3289.374770680378
12,2018-01-13,3291.488691538547,1538.6709767260727,4982.102423598035,3291.488691538547,3291.488691538547,0.0,0.0,0.0,0.0,0.0,0.0,3291.488691538547
13,2018-01-14,3293.6026123967163,1675.7923862155017,5177.027076514421,3293.6026123967163,3293.6026123967163,0.0,0.0,0.0,0.0,0.0,0.0,3293.6026123967163
14,2018-01-15,3295.7165332548857,1435.6526569904752,5051.897111735952,3295.7165332548857,3295.7165332548857,0.0,0.0,0.0,0.0,0.0,0.0,3295.7165332548857
15,2018-01-16,3297.830454113054,1591.0473263962936,5002.897002242462,3297.830454113054,3297.830454113054,0.0,0.0,0.0,0.0,0.0,0.0,3297.830454113054
16,2018-01-17,3299.9443749712236,1575.8990472527626,4971.783263319369,3299.9443749712236,3299.9443749712236,0.0,0.0,0.0,0.0,0.0,0.0,3299.9443749712236
17,2018-01-18,3302.058295829393,1450.361341781494,4854.716927563037,3302.058295829393,3302.058295829393,0.0,0.0,0.0,0.0,0.0,0.0,3302.058295829393
18,2018-01-19,3304.172216687562,1533.527348613501,5186.613045794942,3304.172216687562,3304.172216687562,0.0,0.0,0.0,0.0,0.0,0.0,3304.172216687562
19,2018-01-20,3306.2861375457314,1607.242280760738,4924.53353749476,3306.2861375457314,3306.2861375457314,0.0,0.0,0.0,0.0,0.0,0.0,3306.2861375457314
20,2018-01-21,3308.4000584039004,1503.0818651648935,5146.176353737129,3308.4000584039004,3308.4000584039004,0.0,0.0,0.0,0.0,0.0,0.0,3308.4000584039004
21,2018-01-22,3310.5139792620694,1540.5383023159106,5108.266944337733,3310.5139792620694,3310.5139792620694,0.0,0.0,0.0,0.0,0.0,0.0,3310.5139792620694
22,2018-01-23,3312.627900120239,1673.2860229537189,5066.334167158235,3312.627900120239,3312.627900120239,0.0,0.0,0.0,0.0,0.0,0.0,3312.627900120239
23,2018-01-24,3314.741820978408,1587.771830880882,4999.187043031962,3314.741820978408,3314.741820978408,0.0,0.0,0.0,0.0,0.0,0.0,3314.741820978408
24,2018-01-25,3316.8557418365767,1540.0000328856374,5005.135253456361,3316.8557418365767,3316.8557418365767,0.0,0.0,0.0,0.0,0.0,0.0,3316.8557418365767
25,2018-01-26,3318.969662694746,1603.377119222428,5128.972942814259,3318.969662694746,3318.969662694746,0.0,0.0,0.0,0.0,0.0,0.0,3318.969662694746
