,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-01,3499.5031440653097,1365.5758211961047,3468.5153144178184,3499.5031440653097,3499.5031440653097,-1084.6207087138691,-1084.6207087138691,-1084.6207087138691,44.06265536710063,44.06265536710063,44.06265536710063,-1128.6833640809696,-1128.6833640809696,-1128.6833640809696,0.0,0.0,0.0,2414.8824353514406
1,2018-01-02,3500.3231854624964,1357.7423357151001,3459.936912201573,3500.3231854624964,3500.3231854624964,-1079.710349085483,-1079.710349085483,-1079.710349085483,30.423389470738496,30.423389470738496,30.423389470738496,-1110.1337385562215,-1110.1337385562215,-1110.1337385562215,0.0,0.0,0.0,2420.6128363770135
2,2018-01-03,3501.1432268596823,1430.4693436382777,3494.746672400453,3501.1432268596823,3501.1432268596823,-1078.9549753083527,-1078.9549753083527,-1078.9549753083527,11.3958452398603,11.3958452398603,11.3958452398603,-1090.350820548213,-1090.350820548213,-1090.350820548213,0.0,0.0,0.0,2422.18825155133
3,2018-01-04,3501.9632682568686,1406.6512919990207,3411.681939232345,3501.9632682568686,3501.9632682568686,-1077.7497098214055,-1077.7497098214055,-1077.7497098214055,-8.307616351766963,-8.307616351766963,-8.307616351766963,-1069.4420934696386,-1069.4420934696386,-1069.4420934696386,0.0,0.0,0.0,2424.213558435463
4,2018-01-05,3502.7833096540553,1364.942629598925,3486.236535464841,3502.7833096540553,3502.7833096540553,-1105.5120136791813,-1105.5120136791813,-1105.5120136791813,-57.944861853676336,-57.944861853676336,-57.944861853676336,-1047.567151825505,-1047.567151825505,-1047.567151825505,0.0,0.0,0.0,2397.271295974874
5,2018-01-06,3503.603351051241,1401.0468911034047,3506.424915961236,3503.603351051241,3503.603351051241,-1058.461477036365,-1058.461477036365,-1058.461477036365,-33.52873244895245,-33.52873244895245,-33.52873244895245,-1024.9327445874126,-1024.9327445874126,-1024.9327445874126,0.0,0.0,0.0,2445.141874014876
6,2018-01-07,3504.423392448428,1381.8614676235009,3604.0210467002253,3504.423392448428,3504.423392448428,-987.8868358881072,-987.8868358881072,-987.8868358881072,13.89932057663531,13.89932057663531,13.89932057663531,-1001.7861564647425,-1001.7861564647425,-1001.7861564647425,0.0,0.0,0.0,2516.5365565603206
7,2018-01-08,3505.243433845614,1565.7019340797578,3519.587168545114,3505.243433845614,3505.243433845614,-934.3445029204448,-934.3445029204448,-934.3445029204448,44.062655367050496,44.062655367050496,44.062655367050496,-978.4071582874952,-978.4071582874952,-978.4071582874952,0.0,0.0,0.0,2570.898930925169
8,2018-01-09,3506.0634752428,1464.812381973953,3666.339545319398,3506.0634752428,3506.0634752428,-924.6754146848867,-924.6754146848867,-924.6754146848867,30.423389470693305,30.423389470693305,30.423389470693305,-955.0988041555801,-955.0988041555801,-955.0988041555801,0.0,0.0,0.0,2581.3880605579134
9,2018-01-10,3506.8835166399867,1536.4719644284667,3588.111990212562,3506.8835166399867,3506.8835166399867,-920.7815451355935,-920.7815451355935,-920.7815451355935,11.395845239840478,11.395845239840478,11.395845239840478,-932.177390375434,-932.177390375434,-932.177390375434,0.0,0.0,0.0,2586.101971504393
10,2018-01-11,3507.703558037173,1531.7265868357388,3747.557659944587,3507.703558037173,3507.703558037173,-918.2695346433518,-918.2695346433518,-918.2695346433518,-8.307616351793083,-8.307616351793083,-8.307616351793083,-909.9619182915587,-909.9619182915587,-909.9619182915587,0.0,0.0,0.0,2589.434023393821
11,2018-01-12,3508.5235994343593,1534.0207647297814,3633.9241424133743,3508.5235994343593,3508.5235994343593,-946.7082809504006,-946.7082809504006,-946.7082809504006,-57.94486185369238,-57.94486185369238,-57.94486185369238,-888.7634190967083,-888.7634190967083,-888.7634190967083,0.0,0.0,0.0,2561.8153184839584
12,2018-01-13,3509.3436408315456,1522.1174989819335,3649.544926369568,3509.3436408315456,3509.3436408315456,-902.4032354878558,-902.4032354878558,-902.4032354878558,-33.528732448998056,-33.528732448998056,-33.528732448998056,-868.8745030388578,-868.8745030388578,-868.8745030388578,0.0,0.0,0.0,2606.9404053436897
13,2018-01-14,3510.163682228732,1668.1395251056194,3758.645732537862,3510.163682228732,3510.163682228732,-836.6601674436411,-836.6601674436411,-836.6601674436411,13.899320576680564,13.899320576680564,13.899320576680564,-850.5594880203216,-850.5594880203216,-850.5594880203216,0.0,0.0,0.0,2673.503514785091
14,2018-01-15,3510.983723625918,1664.5635091648744,3766.4501273275473,3510.983723625918,3510.983723625918,-789.9827882415369,-789.9827882415369,-789.9827882415369,44.06265536708216,44.06265536708216,44.06265536708216,-834.045443608619,-834.045443608619,-834.045443608619,0.0,0.0,0.0,2721.000935384381
15,2018-01-16,3511.8037650231045,1657.624553796348,3763.585122747502,3511.8037650231045,3511.8037650231045,-789.0910670988206,-789.0910670988206,-789.0910670988206,30.423389470724256,30.423389470724256,30.423389470724256,-819.5144565695449,-819.5144565695449,-819.5144565695449,0.0,0.0,0.0,2722.712697924284
16,2018-01-17,3512.6238064202907,1619.0288591123858,3812.1658807755293,3512.6238064202907,3512.6238064202907,-795.7015388755241,-795.7015388755241,-795.7015388755241,11.395845239820652,11.395845239820652,11.395845239820652,-807.0973841153448,-807.0973841153448,-807.0973841153448,0.0,0.0,0.0,2716.922267544767
17,2018-01-18,3513.443847817477,1664.92186028767,3792.5924182694266,3513.443847817477,3513.443847817477,-805.1769287455777,-805.1769287455777,-805.1769287455777,-8.30761635175464,-8.30761635175464,-8.30761635175464,-796.8693123938231,-796.8693123938231,-796.8693123938231,0.0,0.0,0.0,2708.2669190718993
18,2018-01-19,3514.2638892146633,1536.7612745506908,3739.025713229359,3514.2638892146633,3514.2638892146633,-846.7917437316403,-846.7917437316403,-846.7917437316403,-57.944861853664754,-57.944861853664754,-57.944861853664754,-788.8468818779755,-788.8468818779755,-788.8468818779755,0.0,0.0,0.0,2667.4721454830233
19,2018-01-20,3515.0839306118496,1699.0965777855267,3702.4599057611235,3515.0839306118496,3515.0839306118496,-816.5163124474274,-816.5163124474274,-816.5163124474274,-33.528732448949924,-33.528732448949924,-33.528732448949924,-782.9875799984775,-782.9875799984775,-782.9875799984775,0.0,0.0,0.0,2698.567618164422
20,2018-01-21,3515.903972009036,1639.2488614375397,3815.089951401007,3515.903972009036,3515.903972009036,-765.2917159819084,-765.2917159819084,-765.2917159819084,13.899320576725827,13.899320576725827,13.899320576725827,-779.1910365586342,-779.1910365586342,-779.1910365586342,0.0,0.0,0.0,2750.6122560271274
21,2018-01-22,3516.7240134062226,1803.4362612531306,3836.6579491875623,3516.7240134062226,3516.7240134062226,-733.2396358627625,-733.2396358627625,-733.2396358627625,44.06265536707133,44.06265536707133,44.06265536707133,-777.3022912298339,-777.3022912298339,-777.3022912298339,0.0,0.0,0.0,2783.48437754346
22,2018-01-23,3517.5440548034085,1703.3125767240545,3806.5850223634307,3517.5440548034085,3517.5440548034085,-746.6935473968466,-746.6935473968466,-746.6935473968466,30.42338947075521,30.42338947075521,30.42338947075521,-777.1169368676018,-777.1169368676018,-777.1169368676018,0.0,0.0,0.0,2770.850507406562
23,2018-01-24,3518.364096200595,1689.174008643948,3832.591646175258,3518.364096200595,3518.364096200595,-766.9921343767685,-766.9921343767685,-766.9921343767685,11.395845239868379,11.395845239868379,11.395845239868379,-778.3879796166369,-778.3879796166369,-778.3879796166369,0.0,0.0,0.0,2751.3719618238265
24,2018-01-25,3519.1841375977815,1678.4936313492997,3715.474004825884,3519.1841375977815,3519.1841375977815,-789.1418151554145,-789.1418151554145,-789.1418151554145,-8.307616351761025,-8.307616351761025,-8.307616351761025,-780.8341988036535,-780.8341988036535,-780.8341988036535,0.0,0.0,0.0,2730.042322442367
25,2018-01-26,3520.0041789949673,1624.7381027918464,3756.774553301252,3520.0041789949673,3520.0041789949673,-842.0946001928297,-842.0946001928297,-842.0946001928297,-57.94486185363631,-57.94486185363631,-57.94486185363631,-784.1497383391934,-784.1497383391934,-784.1497383391934,0.0,0.0,0.0,2677.9095788021377
26,2018-01-27,3520.824220392154,1692.2485963845807,3728.514074778873,3520.824220392154,3520.824220392154,-821.543350882291,-821.543350882291,-821.543350882291,-33.52873244893828,-33.52873244893828,-33.52873244893828,-788.0146184333526,-788.0146184333526,-788.0146184333526,0.0,0.0,0.0,2699.280869509863
27,2018-01-28,3521.6442617893404,1761.9421731463153,3724.3220771248457,3521.6442617893404,3521.6442617893404,-778.2065027370558,-778.2065027370558,-778.2065027370558,13.89932057677109,13.89932057677109,13.89932057677109,-792.1058233138268,-792.1058233138268,-792.1058233138268,0.0,0.0,0.0,2743.4377590522845
28,2018-01-29,3522.4643031865266,1693.5907629567544,3784.07384924933,3522.4643031865266,3522.4643031865266,-752.0459430532951,-752.0459430532951,-752.0459430532951,44.062655367063684,44.062655367063684,44.062655367063684,-796.1085984203587,-796.1085984203587,-796.1085984203587,0.0,0.0,0.0,2770.4183601332315
29,2018-01-30,3523.284344583713,1728.0677148863388,3875.5750395106434,3523.284344583713,3523.284344583713,-769.3041905806211,-769.3041905806211,-769.3041905806211,30.423389470752877,30.423389470752877,30.423389470752877,-799.7275800513739,-799.7275800513739,-799.7275800513739,0.0,0.0,0.0,2753.9801540030917
30,2018-01-31,3524.104385980899,1745.2906320154277,3747.215074542403,3524.104385980899,3524.104385980899,-791.301536816691,-791.301536816691,-791.301536816691,11.395845239883291,11.395845239883291,11.395845239883291,-802.6973820565744,-802.6973820565744,-802.6973820565744,0.0,0.0,0.0,2732.802849164208
31,2018-02-01,3524.9244273780855,1651.215699884823,3745.379848160283,3524.9244273780855,3524.9244273780855,-813.0998943117833,-813.0998943117833,-813.0998943117833,-8.307616351806878,-8.307616351806878,-8.307616351806878,-804.7922779599764,-804.7922779599764,-804.7922779599764,0.0,0.0,0.0,2711.824533066302
32,2018-02-02,3525.744468775272,1562.6062009049492,3758.4492107608608,3525.744468775272,3525.744468775272,-863.7795043764538,-863.7795043764538,-863.7795043764538,-57.944861853652355,-57.944861853652355,-57.944861853652355,-805.8346425228013,-805.8346425228013,-805.8346425228013,0.0,0.0,0.0,2661.9649643988178
33,2018-02-03,3526.5645101724585,1722.445888782306,3743.751288173603,3526.5645101724585,3526.5645101724585,-839.2305859452998,-839.2305859452998,-839.2305859452998,-33.52873244898389,-33.52873244898389,-33.52873244898389,-805.7018534963158,-805.7018534963158,-805.7018534963158,0.0,0.0,0.0,2687.3339242271586
34,2018-02-04,3527.3845515696444,1748.3147823550219,3692.87260574571,3527.3845515696444,3527.3845515696444,-790.4320805400495,-790.4320805400495,-790.4320805400495,13.899320576679136,13.899320576679136,13.899320576679136,-804.3314011167286,-804.3314011167286,-804.3314011167286,0.0,0.0,0.0,2736.952471029595
35,2018-02-05,3528.2045929668307,1699.2325044962597,3794.48755766528,3528.2045929668307,3528.2045929668307,-757.6613529768941,-757.6613529768941,-757.6613529768941,44.062655367052855,44.062655367052855,44.062655367052855,-801.724008343947,-801.724008343947,-801.724008343947,0.0,0.0,0.0,2770.5432399899364
36,2018-02-06,3529.024634446279,1764.2116533179105,3746.1320927451343,3529.024634446279,3529.024634446279,-767.5212378291961,-767.5212378291961,-767.5212378291961,30.423389470707694,30.423389470707694,30.423389470707694,-797.9446272999038,-797.9446272999038,-797.9446272999038,0.0,0.0,0.0,2761.5033966170827
37,2018-02-07,3529.8446759257276,1706.3340336766648,3778.0490861346507,3529.8446759257276,3529.8446759257276,-781.7253996386116,-781.7253996386116,-781.7253996386116,11.395845239828732,11.395845239828732,11.395845239828732,-793.1212448784404,-793.1212448784404,-793.1212448784404,0.0,0.0,0.0,2748.119276287116
38,2018-02-08,3530.664717405176,1661.9323183275292,3750.728355904062,3530.664717405176,3530.664717405176,-795.7491173763897,-795.7491173763897,-795.7491173763897,-8.307616351832998,-8.307616351832998,-8.307616351832998,-787.4415010245567,-787.4415010245567,-787.4415010245567,0.0,0.0,0.0,2734.9156000287862
39,2018-02-09,3531.484758884624,1728.1833716146837,3707.175207557769,3531.484758884624,3531.484758884624,-839.0920563409301,-839.0920563409301,-839.0920563409301,-57.94486185362472,-57.94486185362472,-57.94486185362472,-781.1471944873052,-781.1471944873052,-781.1471944873052,0.0,0.0,0.0,2692.392702543694
40,2018-02-10,3532.3048003640724,1664.976049859731,3757.5133545679314,3532.3048003640724,3532.3048003640724,-808.0555531771571,-808.0555531771571,-808.0555531771571,-33.528732448954,-33.528732448954,-33.528732448954,-774.526820728203,-774.526820728203,-774.526820728203,0.0,0.0,0.0,2724.2492471869155
41,2018-02-11,3533.124841843521,1693.44390169715,3808.117679495052,3533.124841843521,3533.124841843521,-754.0070322824764,-754.0070322824764,-754.0070322824764,13.899320576758102,13.899320576758102,13.899320576758102,-767.9063528592345,-767.9063528592345,-767.9063528592345,0.0,0.0,0.0,2779.117809561045
42,2018-02-12,3533.9448833229694,1781.0373336829036,3778.172853839368,3533.9448833229694,3533.9448833229694,-717.575881527175,-717.575881527175,-717.575881527175,44.0626553670877,44.0626553670877,44.0626553670877,-761.6385368942629,-761.6385368942629,-761.6385368942629,0.0,0.0,0.0,2816.3690017957942
43,2018-02-13,3534.7649248024177,1806.9927098679484,3784.562299967746,3534.7649248024177,3534.7649248024177,-725.6676357552246,-725.6676357552246,-725.6676357552246,30.42338947074822,30.42338947074822,30.42338947074822,-756.0910252259729,-756.0910252259729,-756.0910252259729,0.0,0.0,0.0,2809.097289047193
44,2018-02-14,3535.584966281866,1739.228981572232,3873.286062053563,3535.584966281866,3535.584966281866,-740.2378701199664,-740.2378701199664,-740.2378701199664,11.395845239876463,11.395845239876463,11.395845239876463,-751.6337153598428,-751.6337153598428,-751.6337153598428,0.0,0.0,0.0,2795.3470961618996
45,2018-02-15,3536.4050077613147,1753.0451132918145,3822.7616868613777,3536.4050077613147,3536.4050077613147,-756.9333094013409,-756.9333094013409,-756.9333094013409,-8.307616351774822,-8.307616351774822,-8.307616351774822,-748.6256930495662,-748.6256930495662,-748.6256930495662,0.0,0.0,0.0,2779.4716983599737
46,2018-02-16,3537.2250492407625,1692.900873189973,3731.88658018241,3537.2250492407625,3537.2250492407625,-805.3470608045095,-805.3470608045095,-805.3470608045095,-57.94486185364078,-57.94486185364078,-57.94486185364078,-747.4021989508686,-747.4021989508686,-747.4021989508686,0.0,0.0,0.0,2731.877988436253
47,2018-02-17,3538.045090720211,1720.0645830083556,3828.6782964160184,3538.045090720211,3538.045090720211,-781.7907773937086,-781.7907773937086,-781.7907773937086,-33.52873244892412,-33.52873244892412,-33.52873244892412,-748.2620449447844,-748.2620449447844,-748.2620449447844,0.0,0.0,0.0,2756.2543133265026
48,2018-02-18,3538.8651321996595,1734.5249283798635,3833.2909039791866,3538.8651321996595,3538.8651321996595,-737.5565793965047,-737.5565793965047,-737.5565793965047,13.89932057676966,13.89932057676966,13.89932057676966,-751.4558999732744,-751.4558999732744,-751.4558999732744,0.0,0.0,0.0,2801.3085528031547
49,2018-02-19,3539.685173679108,1814.7562958545395,3909.554996481878,3539.685173679108,3539.685173679108,-713.1131902380473,-713.1131902380473,-713.1131902380473,44.06265536708006,44.06265536708006,44.06265536708006,-757.1758456051273,-757.1758456051273,-757.1758456051273,0.0,0.0,0.0,2826.571983441061
50,2018-02-20,3540.505215158556,1743.282766935064,3883.848584874888,3540.505215158556,3540.505215158556,-735.1231795289483,-735.1231795289483,-735.1231795289483,30.42338947073631,30.42338947073631,30.42338947073631,-765.5465689996846,-765.5465689996846,-765.5465689996846,0.0,0.0,0.0,2805.382035629608
51,2018-02-21,3541.3252566380047,1790.4414523080138,3789.245698730002,3541.3252566380047,3541.3252566380047,-765.2226710660866,-765.2226710660866,-765.2226710660866,11.395845239856634,11.395845239856634,11.395845239856634,-776.6185163059432,-776.6185163059432,-776.6185163059432,0.0,0.0,0.0,2776.102585571918
52,2018-02-22,3542.145298117453,1743.89194137074,3756.482962213931,3542.145298117453,3542.145298117453,-798.6708903531423,-798.6708903531423,-798.6708903531423,-8.30761635180094,-8.30761635180094,-8.30761635180094,-790.3632740013414,-790.3632740013414,-790.3632740013414,0.0,0.0,0.0,2743.474407764311
53,2018-02-23,3542.9653395969017,1648.0726767380115,3754.948855471777,3542.9653395969017,3542.9653395969017,-864.6162426642946,-864.6162426642946,-864.6162426642946,-57.94486185365601,-57.94486185365601,-57.94486185365601,-806.6713808106387,-806.6713808106387,-806.6713808106387,0.0,0.0,0.0,2678.349096932607
54,2018-02-24,3543.7853810763495,1649.5713333823521,3711.944396976652,3543.7853810763495,3543.7853810763495,-858.8814329332739,-858.8814329332739,-858.8814329332739,-33.528732448894225,-33.528732448894225,-33.528732448894225,-825.3527004843797,-825.3527004843797,-825.3527004843797,0.0,0.0,0.0,2684.9039481430755
55,2018-02-25,3544.605422555798,1693.3814296892526,3743.3138122286205,3544.605422555798,3544.605422555798,-832.2400874027542,-832.2400874027542,-832.2400874027542,13.899320576677711,13.899320576677711,13.899320576677711,-846.1394079794319,-846.1394079794319,-846.1394079794319,0.0,0.0,0.0,2712.365335153044
56,2018-02-26,3545.4254640352465,1698.4354608502751,3708.5076312216625,3545.4254640352465,3545.4254640352465,-824.6289054032909,-824.6289054032909,-824.6289054032909,44.062655367069226,44.062655367069226,44.062655367069226,-868.6915607703602,-868.6915607703602,-868.6915607703602,0.0,0.0,0.0,2720.7965586319556
57,2018-02-27,3546.245505514695,1566.487031939639,3694.3410869414315,3546.245505514695,3546.245505514695,-862.1817560724251,-862.1817560724251,-862.1817560724251,30.423389470733987,30.423389470733987,30.423389470733987,-892.6051455431591,-892.6051455431591,-892.6051455431591,0.0,0.0,0.0,2684.06374944227
58,2018-02-28,3547.065546994143,1658.9057624383265,3737.211903670799,3547.065546994143,3547.065546994143,-906.0265656323389,-906.0265656323389,-906.0265656323389,11.395845239836802,11.395845239836802,11.395845239836802,-917.4224108721756,-917.4224108721756,-917.4224108721756,0.0,0.0,0.0,2641.038981361804
59,2018-03-01,3547.8855884735917,1579.5961580554815,3605.6082753350365,3547.8855884735917,3547.8855884735917,-950.9518374572705,-950.9518374572705,-950.9518374572705,-8.3076163517625,-8.3076163517625,-8.3076163517625,-942.644221105508,-942.644221105508,-942.644221105508,0.0,0.0,0.0,2596.9337510163214
60,2018-03-02,3548.70562995304,1460.9650121045302,3522.7811559651427,3548.70562995304,3548.70562995304,-1025.6889597955999,-1025.6889597955999,-1025.6889597955999,-57.9448618536292,-57.9448618536292,-57.9448618536292,-967.7440979419706,-967.7440979419706,-967.7440979419706,0.0,0.0,0.0,2523.01667015744
61,2018-03-03,3549.525671432488,1542.7505542883548,3646.606444484288,3549.525671432488,3549.525671432488,-1025.71228872685,-1025.71228872685,-1025.71228872685,-33.528732448939834,-33.528732448939834,-33.528732448939834,-992.1835562779103,-992.1835562779103,-992.1835562779103,0.0,0.0,0.0,2523.813382705638
62,2018-03-04,3550.3457129119365,1489.0708073670976,3620.3699241233785,3550.3457129119365,3550.3457129119365,-1001.5289712025406,-1001.5289712025406,-1001.5289712025406,13.899320576756674,13.899320576756674,13.899320576756674,-1015.4282917792974,-1015.4282917792974,-1015.4282917792974,0.0,0.0,0.0,2548.816741709396
63,2018-03-05,3551.165754391385,1585.178474611245,3633.6266886010017,3551.165754391385,3551.165754391385,-992.9020856022128,-992.9020856022128,-992.9020856022128,44.0626553670584,44.0626553670584,44.0626553670584,-1036.9647409692711,-1036.9647409692711,-1036.9647409692711,0.0,0.0,0.0,2558.263668789172
64,2018-03-06,3551.9857958708335,1455.1449159889908,3549.176124263015,3551.9857958708335,3551.9857958708335,-1025.8931222496083,-1025.8931222496083,-1025.8931222496083,30.423389470731657,30.423389470731657,30.423389470731657,-1056.31651172034,-1056.31651172034,-1056.31651172034,0.0,0.0,0.0,2526.092673621225
65,2018-03-07,3552.8058373502813,1438.117014749983,3513.8196097027903,3552.8058373502813,3552.8058373502813,-1061.6643285835753,-1061.6643285835753,-1061.6643285835753,11.39584523981698,11.39584523981698,11.39584523981698,-1073.0601738233922,-1073.0601738233922,-1073.0601738233922,0.0,0.0,0.0,2491.141508766706
66,2018-03-08,3553.62587882973,1371.0824428250016,3482.532982377216,3553.62587882973,3553.62587882973,-1095.1475226312148,-1095.1475226312148,-1095.1475226312148,-8.307616351724059,-8.307616351724059,-8.307616351724059,-1086.8399062794908,-1086.8399062794908,-1086.8399062794908,0.0,0.0,0.0,2458.478356198515
